ticker,episode,entry_date,entry_period_start,last_rebalance_date,last_period_start,exit_or_last_period_end,days_held_observed,days_held,months_held,average_weight,max_weight,min_weight,asset_compound_return_during_episode,gross_arithmetic_portfolio_contribution,winner,status,censoring_note
BAC,1,2014-10-31,2014-10-31,2014-10-31,2014-10-31,2014-11-28,28,28,1,0.06358864995496379,0.06358864995496379,0.06358864995496379,-0.006992944810711221,-0.00044467191972269633,False,CLOSED,
MRK,4,2014-10-31,2014-10-31,2014-11-28,2014-11-28,2014-12-31,61,61,2,0.06965919409264158,0.0696591941095297,0.06965919407575347,-0.01984811799327968,-0.0012058352277224235,False,CLOSED,
CHTR,3,2014-11-28,2014-11-28,2014-12-31,2014-12-31,2015-01-30,63,63,2,0.045668605904926704,0.050571745155575734,0.040765466654277674,-0.10948734334227195,-0.005444370155204818,False,CLOSED,
BAC,2,2014-12-31,2014-12-31,2014-12-31,2014-12-31,2015-01-30,30,30,1,0.0504396070004988,0.0504396070004988,0.0504396070004988,-0.15315818136380654,-0.0077252384769015215,False,CLOSED,
SBUX,2,2014-12-31,2014-12-31,2015-11-30,2015-11-30,2015-12-31,365,365,12,0.0956052760362418,0.09560534522937028,0.09560523869506465,0.46325402916632363,0.03808862271846254,True,CLOSED,
DE,3,2015-01-30,2015-01-30,2015-01-30,2015-01-30,2015-02-27,28,28,1,0.026419305552533866,0.026419305552533866,0.026419305552533866,0.06350505784332894,0.0016777595272942445,True,CLOSED,
MRK,5,2015-01-30,2015-01-30,2015-01-30,2015-01-30,2015-02-27,28,28,1,0.009323804363922782,0.009323804363922782,0.009323804363922782,-0.028865289237507974,-0.00026913430975857017,False,CLOSED,
CHTR,4,2015-02-27,2015-02-27,2015-12-31,2015-12-31,2016-01-29,336,336,11,0.06447784145295529,0.09499162403886016,0.0,-0.051162819384778624,-0.007289790146319644,False,CLOSED,
VZ,3,2015-02-27,2015-02-27,2015-03-31,2015-03-31,2015-04-30,62,62,2,0.03902303114977121,0.04187065118577718,0.03617541111376524,0.020020178938227495,0.0009585409573619214,True,CLOSED,
EOG,2,2015-04-30,2015-04-30,2015-04-30,2015-04-30,2015-05-29,29,29,1,0.025835632082201455,0.025835632082201455,0.025835632082201455,-0.1036886793660301,-0.002678862571190107,False,CLOSED,
MRK,6,2015-04-30,2015-04-30,2015-05-29,2015-05-29,2015-06-30,61,61,2,0.100137405422749,0.11547201392562217,0.08480279691987583,-0.04415719392376949,-0.0056160808676581336,False,CLOSED,
ACN,1,2015-05-29,2015-05-29,2015-07-31,2015-07-31,2015-08-31,94,94,3,0.08824546590542892,0.08824547754465803,0.08824544903808745,-0.018429865218532848,-0.0011138813425892406,False,CLOSED,
SCHW,1,2015-05-29,2015-05-29,2015-05-29,2015-05-29,2015-06-30,32,32,1,0.06781343560170475,0.06781343560170475,0.06781343560170475,0.031595637263867715,0.002142608712888116,True,CLOSED,
DE,4,2015-06-30,2015-06-30,2015-06-30,2015-06-30,2015-07-31,31,31,1,0.03766830203802456,0.03766830203802456,0.03766830203802456,-0.0255538720139038,-0.0009625709692607514,False,CLOSED,
TJX,3,2015-06-30,2015-06-30,2016-07-29,2016-07-29,2016-08-31,428,428,14,0.18864395082632104,0.22719407812810954,0.04053964362731456,0.17031894490440158,0.026608399852282735,True,CLOSED,
MRK,7,2015-07-31,2015-07-31,2015-07-31,2015-07-31,2015-08-31,31,31,1,0.03314654299127429,0.03314654299127429,0.03314654299127429,-0.0866689209681979,-0.0028727751148797257,False,CLOSED,
EOG,3,2015-08-31,2015-08-31,2015-08-31,2015-08-31,2015-09-30,30,30,1,0.0180352666129038,0.0180352666129038,0.0180352666129038,-0.07036131628931808,-0.0012689850985127026,False,CLOSED,
MAR,2,2015-08-31,2015-08-31,2015-10-30,2015-10-30,2015-11-30,91,91,3,0.06274498327268,0.10783371311675644,0.040200616652955615,0.003538069445842229,-0.004586192214946798,True,CLOSED,
ACN,2,2015-09-30,2015-09-30,2015-11-30,2015-11-30,2015-12-31,92,92,3,0.07522665619204603,0.09846236873616304,0.02877822993008004,0.06350496364856806,0.00013886665987322905,True,CLOSED,
EOG,4,2015-10-30,2015-10-30,2015-11-30,2015-11-30,2015-12-31,62,62,2,0.04248598856908577,0.043531530550763586,0.04144044658740794,-0.17542222278703345,-0.007763363269606463,False,CLOSED,
UNH,2,2015-11-30,2015-11-30,2018-12-31,2018-12-31,2019-01-31,1158,1158,38,0.20220990395519536,0.28563697512376923,0.09665691755221832,1.3973029403054542,0.18982757295038868,True,CLOSED,
CAT,3,2015-12-31,2015-12-31,2015-12-31,2015-12-31,2016-01-29,29,29,1,0.05974726178916471,0.05974726178916471,0.05974726178916471,-0.08416712011570271,-0.0050287549595929605,False,CLOSED,
MRK,8,2015-12-31,2015-12-31,2015-12-31,2015-12-31,2016-01-29,29,29,1,0.05616016781184061,0.05616016781184061,0.05616016781184061,-0.040704321698834534,-0.0022859615372736925,False,CLOSED,
VZ,4,2015-12-31,2015-12-31,2016-03-31,2016-03-31,2016-04-29,120,120,4,0.17207201684693482,0.20521995674257162,0.08946047017510567,0.10212023542508386,0.011831642964862643,True,CLOSED,
ACN,3,2016-01-29,2016-01-29,2016-02-29,2016-02-29,2016-03-31,62,62,2,0.08236393721452437,0.08236393721633549,0.08236393721271326,0.09342429907920291,0.008317024578753402,True,CLOSED,
ADBE,1,2016-01-29,2016-01-29,2016-01-29,2016-01-29,2016-02-29,31,31,1,0.06787286946379956,0.06787286946379956,0.06787286946379956,-0.04465382980123944,-0.003030783561158247,False,CLOSED,
EOG,5,2016-01-29,2016-01-29,2016-01-29,2016-01-29,2016-02-29,31,31,1,0.019892652103957853,0.019892652103957853,0.019892652103957853,-0.08842578254204947,-0.00175902332912922,False,CLOSED,
CHTR,5,2016-02-29,2016-02-29,2016-09-30,2016-09-30,2016-10-31,245,245,8,0.0833354368969293,0.10277989420335047,0.0349794040718272,0.3916796769174866,0.023349409360297082,True,CLOSED,
MRK,9,2016-02-29,2016-02-29,2016-02-29,2016-02-29,2016-03-31,31,31,1,0.07611015871272404,0.07611015871272404,0.07611015871272404,0.053774149543302174,0.004092759056382486,True,CLOSED,
MAR,3,2016-03-31,2016-03-31,2016-03-31,2016-03-31,2016-04-29,29,29,1,0.0,0.0,0.0,-0.01531334592036937,0.0,False,CLOSED,
VALE,1,2016-03-31,2016-03-31,2016-04-29,2016-04-29,2016-05-31,61,61,2,0.0,0.0,0.0,-0.06650830614077907,0.0,False,CLOSED,
CAT,4,2016-04-29,2016-04-29,2016-04-29,2016-04-29,2016-05-31,32,32,1,0.05883466529401066,0.05883466529401066,0.05883466529401066,-0.06703549926199448,-0.003944011161896343,False,CLOSED,
MRK,10,2016-04-29,2016-04-29,2016-06-30,2016-06-30,2016-07-29,91,91,3,0.14706539195558765,0.17188964541012602,0.0974168975325448,0.06965719424080197,0.009779946542289555,True,CLOSED,
ACN,4,2016-05-31,2016-05-31,2016-05-31,2016-05-31,2016-06-30,30,30,1,0.09584522642896495,0.09584522642896495,0.09584522642896495,-0.04774313059507096,-0.00457595116231222,False,CLOSED,
BABA,1,2016-05-31,2016-05-31,2016-05-31,2016-05-31,2016-06-30,30,30,1,0.03272623052672988,0.03272623052672988,0.03272623052672988,-0.03012196610613571,-0.0009857784067077411,False,CLOSED,
MAR,4,2016-06-30,2016-06-30,2016-08-31,2016-08-31,2016-09-30,92,92,3,0.04135519672492699,0.06814418562063496,0.0,0.013090622307656341,-0.004109920246406924,True,CLOSED,
VALE,2,2016-06-30,2016-06-30,2017-03-31,2017-03-31,2017-04-28,302,302,10,0.0006996401743105323,0.0017491022462534749,0.0,0.6956521780102867,0.00030380171862911544,True,CLOSED,
VZ,5,2016-07-29,2016-07-29,2016-07-29,2016-07-29,2016-08-31,33,33,1,0.09527938038310205,0.09527938038310205,0.09527938038310205,-0.055585598715739204,-0.005296161403859384,False,CLOSED,
BABA,2,2016-08-31,2016-08-31,2016-10-31,2016-10-31,2016-11-30,91,91,3,0.07980406548231979,0.0825203849162751,0.07844558053918525,-0.03261658317429261,-0.002323022282623449,False,CLOSED,
MRK,11,2016-08-31,2016-08-31,2016-09-30,2016-09-30,2016-10-31,61,61,2,0.13525890316804354,0.135258903889882,0.1352589024462051,-0.06481928582270557,-0.0088157842826756,False,CLOSED,
TJX,4,2016-09-30,2016-09-30,2016-11-30,2016-11-30,2016-12-30,91,91,3,0.09385119870446822,0.10910939202002479,0.06333481333596076,0.004680375499257039,0.001447529137439522,True,CLOSED,
BAC,3,2016-10-31,2016-10-31,2016-10-31,2016-10-31,2016-11-30,30,30,1,0.06091161468699113,0.06091161468699113,0.06091161468699113,0.28000005086263013,0.017055255210482446,True,CLOSED,
C,2,2016-10-31,2016-10-31,2016-12-30,2016-12-30,2017-01-31,92,92,3,0.06168257798893382,0.07325948023233801,0.055281241515141445,0.13591048011786033,0.0067517385841498485,True,CLOSED,
CAT,5,2016-11-30,2016-11-30,2016-11-30,2016-11-30,2016-12-30,30,30,1,0.07063901420733167,0.07063901420733167,0.07063901420733167,-0.029510252897349654,-0.0020845751736778325,False,CLOSED,
MAR,5,2016-11-30,2016-11-30,2018-05-31,2018-05-31,2018-06-29,576,576,19,0.13007915389479388,0.18782894742132636,0.07156723877574074,0.6070068600634602,0.0663943759366005,True,CLOSED,
DE,5,2016-12-30,2016-12-30,2017-04-28,2017-04-28,2017-05-31,152,152,5,0.09674019541120218,0.10042839212263872,0.08198741058965776,0.18847047744948986,0.017201907791834118,True,CLOSED,
JPM,1,2016-12-30,2016-12-30,2016-12-30,2016-12-30,2017-01-31,32,32,1,0.09004579803360463,0.09004579803360463,0.09004579803360463,-0.01923749732873936,-0.001732255799135673,False,CLOSED,
BAC,4,2017-01-31,2017-01-31,2017-01-31,2017-01-31,2017-02-28,28,28,1,0.08850144995334958,0.08850144995334958,0.08850144995334958,0.09010604993479299,0.0079745160687981,True,CLOSED,
MRK,12,2017-01-31,2017-01-31,2017-01-31,2017-01-31,2017-02-28,28,28,1,0.0865421588233227,0.0865421588233227,0.0865421588233227,0.06259073090202794,0.0054167369745911536,True,CLOSED,
CHTR,6,2017-02-28,2017-02-28,2017-09-29,2017-09-29,2017-10-31,245,245,8,0.14040813349429687,0.15436134122014816,0.08873742000190782,0.03438994599486289,0.009382395127924568,True,CLOSED,
IBM,1,2017-02-28,2017-02-28,2017-02-28,2017-02-28,2017-03-31,31,31,1,0.11308992399077274,0.11308992399077274,0.11308992399077274,-0.03158711882772425,-0.0035721848673148414,False,CLOSED,
TJX,5,2017-03-31,2017-03-31,2017-03-31,2017-03-31,2017-04-28,28,28,1,0.0673386606138405,0.0673386606138405,0.0673386606138405,-0.005564016580908326,-0.000374673424191567,False,CLOSED,
ADBE,2,2017-04-28,2017-04-28,2017-06-30,2017-06-30,2017-07-31,94,94,3,0.034790415812097165,0.034790534503426264,0.03479032155379162,0.0953342266809738,0.003251449126858274,True,CLOSED,
BAC,5,2017-04-28,2017-04-28,2017-04-28,2017-04-28,2017-05-31,33,33,1,0.0,0.0,0.0,-0.039845771169485844,0.0,False,CLOSED,
BABA,3,2017-05-31,2017-05-31,2017-10-31,2017-10-31,2017-11-30,183,183,6,0.03488233882043714,0.04426255096764599,0.02550192616869911,0.44602321700905123,0.010648246043417641,True,CLOSED,
MRK,13,2017-05-31,2017-05-31,2017-07-31,2017-07-31,2017-08-31,92,92,3,0.0751099777298047,0.07547800086987626,0.07492596613623385,-0.019198294139906702,-0.001442912698974745,False,CLOSED,
DE,6,2017-07-31,2017-07-31,2017-07-31,2017-07-31,2017-08-31,31,31,1,0.03423769357918663,0.03423769357918663,0.03423769357918663,-0.0962737651359743,-0.003296191670440069,False,CLOSED,
TJX,6,2017-08-31,2017-08-31,2017-09-29,2017-09-29,2017-10-31,61,61,2,0.08115241422999121,0.08115241806612374,0.08115241039385869,-0.034578145151810125,-0.0027205442461719943,False,CLOSED,
VALE,3,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-09-29,29,29,1,0.007683947039804679,0.007683947039804679,0.007683947039804679,-0.09033423916601824,-0.0006941235096327337,False,CLOSED,
ACN,5,2017-09-29,2017-09-29,2018-01-31,2018-01-31,2018-02-28,152,152,5,0.07177462461267292,0.09629764977746365,0.0,0.19204846210122328,0.011055162190010888,True,CLOSED,
ADBE,3,2017-10-31,2017-10-31,2017-12-29,2017-12-29,2018-01-31,92,92,3,0.04582224227709785,0.0458222469925608,0.04582223347230831,0.14044296831701897,0.0064891534635187565,True,CLOSED,
CAT,6,2017-10-31,2017-10-31,2017-10-31,2017-10-31,2017-11-30,30,30,1,0.0674783270962218,0.0674783270962218,0.0674783270962218,0.03939610253681303,0.002658383093295363,True,CLOSED,
TJX,7,2017-11-30,2017-11-30,2017-11-30,2017-11-30,2017-12-29,29,29,1,0.10592432756202602,0.10592432756202602,0.10592432756202602,0.012044950310477365,0.0012758532621553315,True,CLOSED,
VALE,4,2017-11-30,2017-11-30,2018-02-28,2018-02-28,2018-03-29,119,119,4,0.0,0.0,0.0,0.1887850928758481,0.0,True,CLOSED,
DE,7,2017-12-29,2017-12-29,2018-03-29,2018-03-29,2018-04-30,122,122,4,0.15498827472624208,0.15498832401303583,0.1549882211511699,-0.13532677413042893,-0.020649482146605044,False,CLOSED,
TJX,8,2018-01-31,2018-01-31,2018-10-31,2018-10-31,2018-11-30,303,303,10,0.14765350774893748,0.27396153744083857,0.0,0.21638442877805297,0.032833870780772476,True,CLOSED,
CAT,7,2018-02-28,2018-02-28,2018-05-31,2018-05-31,2018-06-29,121,121,4,0.028144795487329892,0.028144811162231435,0.02814477784827262,-0.12261531472003884,-0.0034331889252059364,False,CLOSED,
EOG,6,2018-03-29,2018-03-29,2018-03-29,2018-03-29,2018-04-30,32,32,1,0.0,0.0,0.0,0.12254205317036604,0.0,True,CLOSED,
MRK,14,2018-04-30,2018-04-30,2019-01-31,2019-01-31,2019-02-28,304,304,10,0.15866574385380183,0.19880513539118155,0.08190570965435726,0.3808391637169828,0.055043291563772676,True,CLOSED,
VALE,5,2018-04-30,2018-04-30,2018-04-30,2018-04-30,2018-05-31,31,31,1,0.009543862535575813,0.009543862535575813,0.009543862535575813,-0.017341023733535632,-0.00016550034673902173,False,CLOSED,
DE,8,2018-05-31,2018-05-31,2018-05-31,2018-05-31,2018-06-29,29,29,1,0.03879485725776088,0.03879485725776088,0.03879485725776088,-0.06494543382940299,-0.0025195488349550434,False,CLOSED,
EOG,7,2018-05-31,2018-05-31,2018-07-31,2018-07-31,2018-08-31,92,92,3,0.08574489821767095,0.09882189529854801,0.07920639966259722,0.003565111680194688,-0.0008866913816925406,True,CLOSED,
ACN,6,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-07-31,32,32,1,0.027550824020007907,0.027550824020007907,0.027550824020007907,-0.026040678539029027,-0.0007174421517903854,False,CLOSED,
CHTR,7,2018-06-29,2018-06-29,2018-11-30,2018-11-30,2018-12-31,185,185,6,0.14020360098079032,0.2620923753654384,0.059416334112168345,-0.02810269252245945,-0.021783961137707076,False,CLOSED,
PBR,2,2018-06-29,2018-06-29,2018-07-31,2018-07-31,2018-08-31,63,63,2,0.024847357405395405,0.03402521126833115,0.01566950354245966,0.08374877118157764,0.0001612467096239298,True,CLOSED,
DE,9,2018-07-31,2018-07-31,2018-07-31,2018-07-31,2018-08-31,31,31,1,0.02346947794008455,0.02346947794008455,0.02346947794008455,-0.00683742164707879,-0.00016047071651317224,False,CLOSED,
CAT,8,2018-08-31,2018-08-31,2018-09-28,2018-09-28,2018-10-31,61,61,2,0.004396656836961413,0.008793313673922826,0.0,-0.12625139098389682,-0.0017974137866699899,False,CLOSED,
LLY,1,2018-08-31,2018-08-31,2018-08-31,2018-08-31,2018-09-28,28,28,1,0.026817613514297255,0.026817613514297255,0.026817613514297255,0.015712219675720673,0.000421364234715214,True,CLOSED,
VZ,6,2018-08-31,2018-08-31,2018-08-31,2018-08-31,2018-09-28,28,28,1,0.04012075251552641,0.04012075251552641,0.04012075251552641,-0.018024637879137773,-0.0007231620355308694,False,CLOSED,
DE,10,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-10-31,33,33,1,0.026940065381267093,0.026940065381267093,0.026940065381267093,-0.09904875412948011,-0.002668379912181243,False,CLOSED,
MAR,6,2018-09-28,2018-09-28,2018-10-31,2018-10-31,2018-11-30,63,63,2,0.02357706980957367,0.023577070111213662,0.02357706950793368,-0.128758616656639,-0.0030787717545935935,False,CLOSED,
COST,1,2018-10-31,2018-10-31,2019-01-31,2019-01-31,2019-02-28,120,120,4,0.20243353527937288,0.2152953730172732,0.17355141748487635,-0.04325766162983591,-0.008296089471051817,False,CLOSED,
VALE,6,2018-10-31,2018-10-31,2018-10-31,2018-10-31,2018-11-30,30,30,1,0.0,0.0,0.0,-0.092715267340167,0.0,False,CLOSED,
AZO,1,2018-11-30,2018-11-30,2018-11-30,2018-11-30,2018-12-31,31,31,1,0.10261493900269242,0.10261493900269242,0.10261493900269242,0.03617736322725973,0.0037123379208435048,True,CLOSED,
CAT,9,2018-11-30,2018-11-30,2019-04-30,2019-04-30,2019-05-31,182,182,6,0.014680864354277,0.017617048801425516,0.0,-0.11690131071279042,-0.0008068844540261438,False,CLOSED,
DE,11,2018-11-30,2018-11-30,2019-05-31,2019-05-31,2019-06-28,210,210,7,0.19100674310410337,0.2622002261828353,0.0408645597373832,0.06992511292370551,0.02465607746539459,True,CLOSED,
SBUX,3,2018-11-30,2018-11-30,2019-02-28,2019-02-28,2019-03-29,119,119,4,0.09115019612903955,0.09786362861285647,0.07101061695815633,0.11420855782033534,0.011941868643528223,True,CLOSED,
MAR,7,2018-12-31,2018-12-31,2019-02-28,2019-02-28,2019-03-29,88,88,3,0.06184227283497001,0.06184227787100941,0.061842270250791635,0.1522660201827568,0.00911123965450499,True,CLOSED,
NFLX,2,2018-12-31,2018-12-31,2019-06-28,2019-06-28,2019-07-31,212,212,7,0.1821700552710585,0.21546458904343224,0.0,0.20671743570715284,-0.007039429572995935,True,CLOSED,
NOC,1,2019-01-31,2019-01-31,2019-01-31,2019-01-31,2019-02-28,28,28,1,0.0,0.0,0.0,0.05229542478853655,0.0,True,CLOSED,
AMD,1,2019-02-28,2019-02-28,2019-06-28,2019-06-28,2019-07-31,153,153,5,0.0,0.0,0.0,0.2940926423440948,0.0,True,CLOSED,
AMZN,1,2019-02-28,2019-02-28,2022-01-31,2022-01-31,2022-02-28,1096,1096,36,0.1314286382977884,0.21628748411721968,0.0,0.8729136793405285,0.1262174955383098,True,CLOSED,
ANET,1,2019-02-28,2019-02-28,2019-10-31,2019-10-31,2019-11-29,274,274,9,0.11878830849421115,0.21607555988731122,0.0,-0.3159333746439529,-0.06460053596785689,False,CLOSED,
CHTR,8,2019-02-28,2019-02-28,2019-03-29,2019-03-29,2019-04-30,61,61,2,0.020808735024007256,0.020808741698300416,0.020808728349714093,0.07619378533607857,0.0015770516777478026,True,CLOSED,
CMG,1,2019-02-28,2019-02-28,2019-09-30,2019-09-30,2019-10-31,245,245,8,0.19084885597254203,0.19085542255894944,0.19084491606267381,0.28085851249228067,0.05252192957995346,True,CLOSED,
COP,1,2019-02-28,2019-02-28,2019-02-28,2019-02-28,2019-03-29,29,29,1,0.0194644329100553,0.0194644329100553,0.0194644329100553,-0.01635962616528186,-0.00031843084592771397,False,CLOSED,
FCX,1,2019-02-28,2019-02-28,2019-04-30,2019-04-30,2019-05-31,92,92,3,0.001133157929200548,0.0011331605836642008,0.0011331537331330374,-0.2472867964895914,-0.00029120000602259516,False,CLOSED,
GD,1,2019-02-28,2019-02-28,2019-10-31,2019-10-31,2019-11-29,274,274,9,0.08383586292245118,0.17062444381912373,0.03518562869292487,0.06767714833654837,0.00037312454848604463,True,CLOSED,
NOW,1,2019-02-28,2019-02-28,2019-08-30,2019-08-30,2019-09-30,214,214,7,0.01974750394088744,0.019751984059290392,0.019746552015360568,0.060182090296037494,0.001335260488323632,True,CLOSED,
ORLY,1,2019-02-28,2019-02-28,2019-03-29,2019-03-29,2019-04-30,61,61,2,0.062427978664934936,0.06242798309106923,0.06242797423880064,0.017770786490580948,0.00117811421420091,True,CLOSED,
STLD,1,2019-02-28,2019-02-28,2019-03-29,2019-03-29,2019-04-30,61,61,2,0.026184706213940128,0.026184745305265055,0.0261846671226152,-0.15112538681051035,-0.004103578281936411,False,CLOSED,
BABA,4,2019-03-29,2019-03-29,2019-04-30,2019-04-30,2019-05-31,63,63,2,0.0,0.0,0.0,-0.18191286926040162,0.0,False,CLOSED,
COST,2,2019-03-29,2019-03-29,2019-11-29,2019-11-29,2019-12-31,277,277,9,0.06968556890361005,0.1196512905771171,0.0,0.2138432897026743,0.00928258289458271,True,CLOSED,
INTC,1,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-04-30,32,32,1,0.0,0.0,0.0,-0.04953444710652377,0.0,False,CLOSED,
NVDA,1,2019-03-29,2019-03-29,2019-04-30,2019-04-30,2019-05-31,63,63,2,0.0,0.0,0.0,-0.24560035648597878,0.0,False,CLOSED,
UPS,1,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-04-30,32,32,1,0.0,0.0,0.0,-0.04940036467332176,0.0,False,CLOSED,
ACN,7,2019-04-30,2019-04-30,2019-09-30,2019-09-30,2019-10-31,184,184,6,0.004233523037495944,0.005803342750368915,0.0026447755020962155,0.015054469959848937,-6.396283693376126e-05,True,CLOSED,
AZO,2,2019-04-30,2019-04-30,2019-04-30,2019-04-30,2019-05-31,31,31,1,0.06744175316590471,0.06744175316590471,0.06744175316590471,-0.0011670344291182522,-7.870684790470568e-05,False,CLOSED,
HD,1,2019-04-30,2019-04-30,2019-04-30,2019-04-30,2019-05-31,31,31,1,0.0,0.0,0.0,-0.06799210138547862,0.0,False,CLOSED,
LOW,1,2019-04-30,2019-04-30,2019-04-30,2019-04-30,2019-05-31,31,31,1,0.0,0.0,0.0,-0.17553474206725705,0.0,False,CLOSED,
ON,1,2019-04-30,2019-04-30,2019-04-30,2019-04-30,2019-05-31,31,31,1,0.0,0.0,0.0,-0.22983518472705022,0.0,False,CLOSED,
PBR,3,2019-04-30,2019-04-30,2019-06-28,2019-06-28,2019-07-31,92,92,3,0.025253694106151667,0.034644473608392734,0.00686542422242672,-0.011818736501093441,0.0011882474707247462,False,CLOSED,
CHTR,9,2019-05-31,2019-05-31,2019-06-28,2019-06-28,2019-07-31,61,61,2,0.005131707058276108,0.010263414116552216,0.0,0.02277074672984858,-0.0002545203070007518,True,CLOSED,
LIN,1,2019-05-31,2019-05-31,2019-06-28,2019-06-28,2019-07-31,61,61,2,0.008837653154365473,0.017675306308730945,0.0,0.05942949624023619,-0.0008379929732013076,True,CLOSED,
NOC,2,2019-05-31,2019-05-31,2019-10-31,2019-10-31,2019-11-29,182,182,6,0.07562389989245281,0.08241970726752758,0.041644878612272444,0.15999996377138292,0.010253336182262299,True,CLOSED,
ORLY,2,2019-05-31,2019-05-31,2019-05-31,2019-05-31,2019-06-28,28,28,1,0.0,0.0,0.0,-0.0055201250015215475,0.0,False,CLOSED,
