decision_id,asof,period_start,period_end,positions,top1,top3,top5,hhi,effective_n,largest_weight
31,2016-07-29,2016-07-29,2016-08-31,8,0.24751206886919747,0.6688520332724587,0.8669112983543195,0.179607735423704,5.5676889285472475,0.24751206886919747
32,2016-08-31,2016-08-31,2016-09-30,7,0.2605273560951926,0.6153714452412951,0.8534102338401797,0.17355398992264373,5.7618957676842735,0.2605273560951926
33,2016-09-30,2016-09-30,2016-10-31,7,0.26821101542517595,0.6201801680356863,0.8582189556725403,0.17574737843811677,5.68998530098766,0.26821101542517595
34,2016-10-31,2016-10-31,2016-11-30,7,0.2585262944374812,0.6921773681241733,0.8838071437978675,0.18636269050234436,5.365880892277741,0.2585262944374812
35,2016-11-30,2016-11-30,2016-12-30,7,0.25852628457267074,0.6921773427775808,0.8728539735733464,0.1860916069698358,5.373697483100854,0.25852628457267074
36,2016-12-30,2016-12-30,2017-01-31,8,0.2338017454709014,0.6721463782487999,0.8441795868720622,0.17752684397789079,5.6329509250135725,0.2338017454709014
37,2017-01-31,2017-01-31,2017-02-28,8,0.2465253712567704,0.6237356528668254,0.8232072889770744,0.16850463809392616,5.934554747641961,0.2465253712567704
38,2017-02-28,2017-02-28,2017-03-31,8,0.2667937061459504,0.5969515616002847,0.8104698777136963,0.16981321530883775,5.888823188356154,0.2667937061459504
39,2017-03-31,2017-03-31,2017-04-28,8,0.2667936977735759,0.6086106722625692,0.831868641370553,0.17109556892790917,5.844686722549479,0.2667936977735759
40,2017-04-28,2017-04-28,2017-05-31,7,0.25843120383974455,0.648609896559832,0.9033977441710475,0.181955601501076,5.4958461940732635,0.25843120383974455
41,2017-05-31,2017-05-31,2017-06-30,8,0.2584311918587695,0.6486098820225072,0.8778953015313405,0.17813400878735433,5.613751168614523,0.2584311918587695
42,2017-06-30,2017-06-30,2017-07-31,8,0.2583011769044633,0.6486093157156454,0.8778959094451846,0.1783377973738543,5.6073362726560605,0.2583011769044633
43,2017-07-31,2017-07-31,2017-08-31,8,0.2583011702032241,0.648609687020181,0.8784483023549257,0.1783828405385933,5.6059203731742855,0.2583011702032241
44,2017-08-31,2017-08-31,2017-09-29,8,0.25830116579252577,0.6507279050834948,0.8862416643697667,0.18035278441944635,5.544688446141761,0.25830116579252577
45,2017-09-29,2017-09-29,2017-10-31,7,0.22926283010065224,0.6297219262685351,0.8745850482446677,0.17143127788811244,5.8332412399834475,0.22926283010065224
46,2017-10-31,2017-10-31,2017-11-30,8,0.2303284874812539,0.6508525842659879,0.8424368980692762,0.17049049080582174,5.865429768390655,0.2303284874812539
47,2017-11-30,2017-11-30,2017-12-29,7,0.2581254516956668,0.6303516574199437,0.8578801032299757,0.17445990479815832,5.731976072994834,0.2581254516956668
48,2017-12-29,2017-12-29,2018-01-31,7,0.21729087580578058,0.5812876804880903,0.857880111527222,0.16436113314252776,6.084163456897306,0.21729087580578058
49,2018-01-31,2018-01-31,2018-02-28,6,0.21729086621476568,0.6271099430228918,0.90370236430899,0.17948981348631501,5.571346811145045,0.21729086621476568
50,2018-02-28,2018-02-28,2018-03-29,7,0.22315897579562974,0.6349537121698487,0.9127242300082921,0.17823244758947393,5.610650661675916,0.22315897579562974
51,2018-03-29,2018-03-29,2018-04-30,7,0.2251671506267045,0.6349537643219224,0.9127242589513982,0.17835561341037118,5.60677615287129,0.2251671506267045
52,2018-04-30,2018-04-30,2018-05-31,8,0.230217433226985,0.6400040416846644,0.8804056416147112,0.17377154969013106,5.754681947552388,0.230217433226985
53,2018-05-31,2018-05-31,2018-06-29,8,0.25987554502958704,0.6105446244210656,0.8538539319174103,0.1677817923136016,5.960122288662265,0.25987554502958704
54,2018-06-29,2018-06-29,2018-07-31,8,0.2598746301919709,0.6599955781696067,0.897363338325364,0.1835212410507177,5.448960535983087,0.2598746301919709
55,2018-07-31,2018-07-31,2018-08-31,8,0.27396153744083857,0.6389813570733152,0.8436834154930363,0.17529518938056673,5.704663108746213,0.27396153744083857
56,2018-08-31,2018-08-31,2018-09-28,7,0.2556498375234565,0.6704205619907335,0.9330616339701764,0.18966428558438947,5.272473923695343,0.2556498375234565
57,2018-09-28,2018-09-28,2018-10-31,8,0.25364636704809035,0.6780484870692373,0.9406895508335964,0.19183645026670876,5.21277368617751,0.25364636704809035
58,2018-10-31,2018-10-31,2018-11-30,7,0.2152953730172732,0.627936379633796,0.939118141390728,0.1818661866653944,5.498548236676041,0.2152953730172732
59,2018-11-30,2018-11-30,2018-12-31,7,0.2620923753654384,0.6324894665858898,0.8881248233044605,0.17940892824857957,5.573858613181462,0.2620923753654384
60,2018-12-31,2018-12-31,2019-01-31,7,0.2622002261828353,0.669656983628429,0.9205406754467033,0.18893523616977007,5.292818958880903,0.2622002261828353
61,2019-01-31,2019-01-31,2019-02-28,7,0.23826878847217364,0.6491260060630578,0.920540688332062,0.18509372313984745,5.402668351127448,0.23826878847217364
62,2019-02-28,2019-02-28,2019-03-29,13,0.23141642775675256,0.6377259404219364,0.7980175521258621,0.15713644828810186,6.3638959063561735,0.23141642775675256
63,2019-03-29,2019-03-29,2019-04-30,11,0.21546416897944515,0.6260511958152067,0.8793240876160503,0.17412897687963574,5.742869555198939,0.21546416897944515
64,2019-04-30,2019-04-30,2019-05-31,13,0.21607555988731122,0.62777083993406,0.8860575091626386,0.17511046084824244,5.710681104692192,0.21607555988731122
65,2019-05-31,2019-05-31,2019-06-28,11,0.21073647794937295,0.5638710333666839,0.860919936234425,0.15613224535526946,6.404826867919312,0.21073647794937295
66,2019-06-28,2019-06-28,2019-07-31,14,0.21073656172493951,0.6051710535094211,0.8244997862883443,0.1520911951947706,6.575002574734079,0.21073656172493951
67,2019-07-31,2019-07-31,2019-08-30,15,0.19247912436190742,0.5539589907399807,0.8105206861745938,0.14516363685690295,6.888777531702129,0.19247912436190742
68,2019-08-30,2019-08-30,2019-09-30,15,0.19085541660577005,0.5422313115003776,0.7468941156315831,0.13160655608068195,7.598405655315118,0.19085541660577005
69,2019-09-30,2019-09-30,2019-10-31,13,0.19085540928829248,0.44435388032156853,0.68267687788287,0.12314438708122247,8.120548761515447,0.19085540928829248
70,2019-10-31,2019-10-31,2019-11-29,10,0.20368119935929202,0.45717967467998666,0.6955026546360251,0.1279622767649283,7.8148031223064205,0.20368119935929202
71,2019-11-29,2019-11-29,2019-12-31,15,0.20621779575022603,0.5408667091562271,0.7745665048812572,0.13520714448220478,7.396058868262058,0.20621779575022603
72,2019-12-31,2019-12-31,2020-01-31,15,0.20621799428754042,0.5408668020922642,0.7527377517111599,0.13252120583171675,7.545962125260609,0.20621799428754042
73,2020-01-31,2020-01-31,2020-02-28,12,0.20621797935504144,0.45850759082264275,0.6748265385009253,0.1241006941112959,8.057972658099564,0.20621797935504144
74,2020-02-28,2020-02-28,2020-03-31,14,0.20499597287882065,0.4883705194546561,0.6932692237926993,0.12500003262914797,7.9999979117350755,0.20499597287882065
75,2020-03-31,2020-03-31,2020-04-30,14,0.21628748411721968,0.5304667287205808,0.7170703914136943,0.13141084329612224,7.609722112098407,0.21628748411721968
76,2020-04-30,2020-04-30,2020-05-29,14,0.21628748410138696,0.5383171417032655,0.7249207849307191,0.1320769409708654,7.571344344056152,0.21628748410138696
77,2020-05-29,2020-05-29,2020-06-30,13,0.21628748217062102,0.5455867470174418,0.7321903508385224,0.1337782721413421,7.475055433093499,0.21628748217062102
78,2020-06-30,2020-06-30,2020-07-31,12,0.21628747522540512,0.569424097072883,0.7560276406058128,0.1397036094963888,7.158011189580961,0.21628747522540512
79,2020-07-31,2020-07-31,2020-08-31,12,0.2162874697597977,0.5694241404096705,0.7560276749596473,0.13970361420712152,7.158010948216572,0.2162874697597977
80,2020-08-31,2020-08-31,2020-09-30,12,0.2162874620639281,0.5717741380752869,0.8061716112963957,0.15014507468674554,6.660225132834662,0.2162874620639281
81,2020-09-30,2020-09-30,2020-10-30,13,0.21628745536780963,0.5694241608659282,0.8031050583759294,0.14765204462051748,6.772679664342702,0.21628745536780963
82,2020-10-30,2020-10-30,2020-11-30,16,0.21818092696991379,0.5470455037076881,0.7490327968972924,0.1349172030740619,7.411953236616212,0.21818092696991379
83,2020-11-30,2020-11-30,2020-12-31,13,0.19908752982593267,0.5020581440529744,0.7277013973748506,0.1260025368293945,7.936348149513725,0.19908752982593267
84,2020-12-31,2020-12-31,2021-01-29,11,0.17947656562698563,0.47191032894504753,0.6968516506863703,0.12092618762724404,8.269507371575363,0.17947656562698563
85,2021-01-29,2021-01-29,2021-02-26,11,0.17947655867732823,0.44079765252634817,0.6657389526039351,0.11532858883088458,8.670876927718062,0.17947655867732823
86,2021-02-26,2021-02-26,2021-03-31,10,0.20779482332522364,0.5184293532114255,0.7433706461439878,0.1357970030135863,7.363932765879608,0.20779482332522364
87,2021-03-31,2021-03-31,2021-04-30,13,0.21040259244106152,0.4689487043232038,0.6732782803184797,0.11865922200942168,8.427494998413177,0.21040259244106152
88,2021-04-30,2021-04-30,2021-05-28,17,0.16259907996413767,0.4323828084755567,0.6496528810516923,0.11059702281265255,9.041834712802032,0.16259907996413767
89,2021-05-28,2021-05-28,2021-06-30,14,0.1625990730487236,0.4323827736766743,0.6496528384520805,0.1134184543792434,8.816907314362142,0.1625990730487236
90,2021-06-30,2021-06-30,2021-07-30,12,0.1625990612277091,0.4411818989471328,0.664835876883122,0.11776009686783713,8.491840840809651,0.1625990612277091
91,2021-07-30,2021-07-30,2021-08-31,12,0.16259906122434012,0.4817450935556863,0.7402381000640406,0.1337132840233352,7.4786885035706945,0.16259906122434012
92,2021-08-31,2021-08-31,2021-09-30,12,0.16070905582922893,0.44440898196159795,0.6637081632349838,0.11160631422986768,8.960066524017362,0.16070905582922893
93,2021-09-30,2021-09-30,2021-10-29,13,0.1461857474114692,0.3781176110944659,0.569811217953125,0.09376018527077595,10.66550793507966,0.1461857474114692
94,2021-10-29,2021-10-29,2021-11-30,13,0.14618573562896145,0.38138811084317026,0.5556183572273304,0.09276132639566104,10.78035468935226,0.14618573562896145
95,2021-11-30,2021-11-30,2021-12-31,13,0.14618572591173148,0.3813880845822909,0.5556183173789268,0.09308544390114704,10.742818190370983,0.14618572591173148
96,2021-12-31,2021-12-31,2022-01-31,13,0.14617966818299086,0.4186592146413356,0.5928290810071415,0.09938481300471017,10.06189949718582,0.14617966818299086
97,2022-01-31,2022-01-31,2022-02-28,15,0.22247831650877234,0.46669540518840774,0.6401906484147291,0.1138851162947881,8.780778670072486,0.22247831650877234
98,2022-02-28,2022-02-28,2022-03-31,14,0.20873453149390178,0.5217659295992462,0.6983090382703113,0.12313306503274424,8.121295443543733,0.20873453149390178
99,2022-03-31,2022-03-31,2022-04-29,12,0.2031021331186814,0.5161335187385709,0.6812837509302229,0.12362745640033117,8.088818043475666,0.2031021331186814
100,2022-04-29,2022-04-29,2022-05-31,16,0.19882239430009105,0.4844773900354961,0.6782444717507674,0.11680465359382064,8.561302732658447,0.19882239430009105
101,2022-05-31,2022-05-31,2022-06-30,14,0.19882237936264988,0.5224667097674727,0.7450896536316891,0.12988100088860544,7.699355511262701,0.19882237936264988
102,2022-06-30,2022-06-30,2022-07-29,15,0.19909478695330954,0.5100913687344142,0.7327143192378618,0.12684594414188308,7.88357883072283,0.19909478695330954
103,2022-07-29,2022-07-29,2022-08-31,15,0.19909672207239248,0.5100924826722246,0.7327155560135632,0.1270324529890779,7.872004172713085,0.19909672207239248
104,2022-08-31,2022-08-31,2022-09-30,17,0.1990969759341669,0.5093445516887286,0.7319874068588228,0.12735380524022807,7.8521407202061635,0.1990969759341669
105,2022-09-30,2022-09-30,2022-10-31,15,0.20578723219977474,0.5160336123352022,0.7386764580545127,0.128279548029323,7.795474924587458,0.20578723219977474
106,2022-10-31,2022-10-31,2022-11-30,13,0.20578722726352405,0.5125623729868873,0.748857799802961,0.13086097086482093,7.641697852241961,0.20578722726352405
107,2022-11-30,2022-11-30,2022-12-30,15,0.20578722192569832,0.5247566427193913,0.6974901444957755,0.1202487664969422,8.316093621013808,0.20578722192569832
108,2022-12-30,2022-12-30,2023-01-31,13,0.2057871876135445,0.5693555237184944,0.7420890035200629,0.13549634053565254,7.380273120637339,0.2057871876135445
109,2023-01-31,2023-01-31,2023-02-28,11,0.20578718424630998,0.5912137176477927,0.7867176680655489,0.14633340363450806,6.8337097010171775,0.20578718424630998
110,2023-02-28,2023-02-28,2023-03-31,11,0.2057871678782401,0.5912135883425245,0.7868037120672735,0.14696870244528826,6.804169754252733,0.2057871678782401
111,2023-03-31,2023-03-31,2023-04-28,11,0.20578716550971624,0.5160232795805938,0.7612665884102323,0.13549133561184049,7.380545741056307,0.20578716550971624
112,2023-04-28,2023-04-28,2023-05-31,13,0.17638141082427192,0.4727625817607868,0.6683257413752521,0.11276335766953545,8.868128979722316,0.17638141082427192
113,2023-05-31,2023-05-31,2023-06-30,12,0.18507049580754553,0.5182890634772921,0.7245837147700713,0.1257758363971945,7.950652753697812,0.18507049580754553
114,2023-06-30,2023-06-30,2023-07-31,12,0.18506974560732256,0.45041048721952737,0.665780381284763,0.1141495422100036,8.760438111615695,0.18506974560732256
115,2023-07-31,2023-07-31,2023-08-31,11,0.15805815083756286,0.42339887087507755,0.632441959177183,0.10832217607680172,9.231720006169263,0.15805815083756286
116,2023-08-31,2023-08-31,2023-09-29,11,0.15521067566039348,0.4146867972723709,0.6483890644503848,0.10939967585443572,9.14079490811813,0.15521067566039348
117,2023-09-29,2023-09-29,2023-10-31,13,0.20280081324595745,0.5183390234035598,0.7245721770386351,0.12831146866814724,7.793535608156012,0.20280081324595745
118,2023-10-31,2023-10-31,2023-11-30,15,0.20292010726622242,0.5503628972710178,0.7565960424225072,0.1345884059520362,7.430060508751207,0.20292010726622242
119,2023-11-30,2023-11-30,2023-12-29,14,0.20292009996339236,0.560306090805329,0.766539218657645,0.13914515446054204,7.18673965958027,0.20292009996339236
120,2023-12-29,2023-12-29,2024-01-31,11,0.20292009834240454,0.5282866014976096,0.769584171454001,0.1422855564329989,7.028120246842425,0.20292009834240454
121,2024-01-31,2024-01-31,2024-02-29,11,0.20660328734622552,0.5319697470988882,0.7718943167730509,0.14309069028477062,6.988574854240057,0.20660328734622552
122,2024-02-29,2024-02-29,2024-03-28,17,0.2151605359166326,0.4755243836166078,0.6817574363981956,0.11469381108732697,8.718866262440331,0.2151605359166326
123,2024-03-28,2024-03-28,2024-04-30,17,0.2151605310902353,0.46723313465639826,0.6667501757849543,0.11281077578075169,8.864401410938836,0.2151605310902353
124,2024-04-30,2024-04-30,2024-05-31,17,0.2151605269977107,0.46723312047887566,0.6667512400891898,0.11277023210209426,8.867588381787403,0.2151605269977107
125,2024-05-31,2024-05-31,2024-06-28,23,0.21511395132513614,0.5301369586636144,0.7118526104482054,0.12431320251842785,8.044197878755176,0.21511395132513614
126,2024-06-28,2024-06-28,2024-07-31,18,0.21511394200558182,0.5356446089670388,0.7427163892585891,0.12995685666887236,7.694861399641123,0.21511394200558182
127,2024-07-31,2024-07-31,2024-08-30,22,0.20702105222292977,0.5206370251392564,0.6748511930152955,0.11749881706561072,8.51072397981339,0.20702105222292977
128,2024-08-30,2024-08-30,2024-09-30,18,0.2051807970370278,0.4898286944522091,0.7122850978805128,0.11871486330519347,8.423545057110406,0.2051807970370278
129,2024-09-30,2024-09-30,2024-10-31,17,0.2051807970528516,0.4898287792913879,0.7122790566548896,0.12004194617785414,8.330421422178544,0.2051807970528516
130,2024-10-31,2024-10-31,2024-11-29,16,0.20518078069724976,0.48674619396779006,0.6892613704998922,0.11975383278724817,8.350463419209106,0.20518078069724976
131,2024-11-29,2024-11-29,2024-12-31,15,0.17103233078499097,0.4514276968733515,0.6539428651226415,0.11151286092718608,8.96757550371669,0.17103233078499097
132,2024-12-31,2024-12-31,2025-01-31,13,0.16813402745359357,0.4295859696532863,0.632101108816888,0.10844135830136381,9.221573905602984,0.16813402745359357
133,2025-01-31,2025-01-31,2025-02-28,13,0.16813401278142345,0.4291831277439695,0.6140228811682628,0.10706934271786982,9.339741653547113,0.16813401278142345
134,2025-02-28,2025-02-28,2025-03-31,12,0.16813394761070555,0.44987102025929215,0.65942077152443,0.11607638033019081,8.615017087502217,0.16813394761070555
135,2025-03-31,2025-03-31,2025-04-30,12,0.1642901312416326,0.4460281343079616,0.6555778435220004,0.11311253001751789,8.84075353849064,0.1642901312416326
136,2025-04-30,2025-04-30,2025-05-30,11,0.15112489800489232,0.42015662856146596,0.629706322135097,0.10812469719350994,9.248580814153012,0.15112489800489232
137,2025-05-30,2025-05-30,2025-06-30,14,0.17171732523122446,0.42329863541854873,0.6206125933748985,0.1049909065643086,9.524634396670193,0.17171732523122446
138,2025-06-30,2025-06-30,2025-07-31,10,0.17606373949952606,0.43972354935258195,0.6544657174400531,0.11612122615631078,8.611689982104565,0.17606373949952606
139,2025-07-31,2025-07-31,2025-08-29,9,0.1488833168946523,0.43029406267185644,0.6776538663618323,0.12241147866609627,8.169168536291567,0.1488833168946523
140,2025-08-29,2025-08-29,2025-09-30,10,0.14888330971800676,0.43029405057690023,0.6711197233112183,0.12094976381890146,8.267895433820803,0.14888330971800676
141,2025-09-30,2025-09-30,2025-10-31,10,0.14888329700469596,0.4156726951468506,0.6711197731854515,0.12031396319525006,8.31158722929908,0.14888329700469596
142,2025-10-31,2025-10-31,2025-11-28,8,0.20240949761854174,0.475118157616218,0.7070376731425196,0.13428628032383094,7.446777121151194,0.20240949761854174
143,2025-11-28,2025-11-28,2025-12-31,8,0.20675345967871625,0.47607583893294747,0.7079953342813858,0.13485784544871005,7.4152156047927225,0.20675345967871625
144,2025-12-31,2025-12-31,2026-01-30,17,0.2303978458444611,0.4997202130812195,0.7188968444829766,0.13243084109116018,7.551111144205747,0.2303978458444611
145,2026-01-30,2026-01-30,2026-02-27,15,0.22424414245134766,0.5548259773131631,0.7617320061111837,0.1385817113040653,7.215959383023328,0.22424414245134766
146,2026-02-27,2026-02-27,2026-03-31,14,0.2105113636104574,0.5288453639367922,0.7122229268182463,0.13003440713212683,7.690272306035961,0.2105113636104574
147,2026-03-31,2026-03-31,2026-04-30,13,0.22387579103191818,0.5414899697038719,0.7248673366298284,0.13425251128084995,7.448650237223846,0.22387579103191818
148,2026-04-30,2026-04-30,2026-05-29,18,0.23392456934460704,0.551538726541045,0.7296051929796545,0.13359855351997452,7.48511098101439,0.23392456934460704
149,2026-05-29,2026-05-29,2026-06-30,18,0.23202766815371353,0.5652005624487734,0.7667929274342661,0.1438945592975176,6.949533080902604,0.23202766815371353
150,2026-06-30,2026-06-30,2026-07-31,17,0.21191606491196888,0.6272534732741458,0.8248353714233483,0.15509441112533415,6.447685591919137,0.21191606491196888
151,2026-07-31,2026-07-31,2026-08-31,21,0.21191706329545784,0.5737987939949296,0.7628317473498366,0.135620520806987,7.373515409391358,0.21191706329545784
153,2026-09-02,2026-08-31,2026-09-02,25,0.20833919238678442,0.6143432785662177,0.7427696978547808,0.14047836388246063,7.118533931934942,0.20833919238678442
