"relative_path","sha256","bytes"
"execution_scripts\HOTFIX_ALPHA_ENGINE_V32B.ps1","43CB95E09B8E7C1EFF967DA9E0DBCF8FD84DEDA08D96885DB7C62C89F77C0877","10644"
"execution_scripts\PATCH_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1A_FIX1.ps1","85F5256D7E36AF3F3F08057C6B2A49D74B68E34CD2E6854247587FA63D631C19","21047"
"execution_scripts\PATCH_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1B_FIX1.ps1","CFF648904F2611AA0745250C7CEDE00F56F5AFFE415C72B4BA24AA3946B814DE","18502"
"execution_scripts\PATCH_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1B_FIX2.ps1","574CC912FC2DA8AE39E53F5FACAC17427B00EC79FC108AAA4C4A18933B9F1B20","14370"
"execution_scripts\PATCH_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1C_FIX1.ps1","9DA97A273D17976BDE33D78FC227D8386CAA79FE1664A6B55482F32FBFDE9A67","6530"
"execution_scripts\PATCH_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1C_FIX2.ps1","B954ACD3FC32F1ABDA2C9941810517580757B78EE649F6AF98EDDF2E38E48B79","5860"
"execution_scripts\PATCH_ALPHA_ENGINE_DATA_RECOVERY_V1_DR1E.ps1","E10EF61CBE638A3931975E57A31F73D57E7F928761636537933A3890F6D33C1D","15983"
"execution_scripts\PATCH_ALPHA_ENGINE_DR1D_TIMEOUT_FIX1.ps1","1BBD312F6F18E8FD9D98FE2827A98843E35945D73D244DB76E8F686A9B71778C","27878"
"execution_scripts\PATCH_ALPHA_ENGINE_V41_LIVE.ps1","4B59AB9D591D92039F1C065DAB060F539D0539330E0ABAE96589F7FB815F6FE6","117123"
"execution_scripts\PATCH_ALPHA_ENGINE_V41_LIVE_FIXED.ps1","D2515DBB7928B5DC6B3652A87DB8094ACD806BC61F73C8E6AA50DE943180D6B0","117905"
"execution_scripts\REPAIR_FORWARD_SOURCE_AND_CATCHUP.ps1","E94C89BC57A67F6D412FCA937CE0F4BF8CE3C2D733B78EDA077F46D6AD69A025","7975"
"execution_scripts\REPAIR_SEC_IDENTITY_AND_FORWARD.ps1","CF75015664E3C2250D452A05DF82EC9F6A3CFF37323871C289920DC4A269FA0D","8335"
"execution_scripts\RESUME_ALPHA_ENGINE_V42_FIX1.ps1","3E1C6383CEACA1AFF1CE351B3091F9B714ADE328651E3183D95E6490BBC36DFE","34247"
"execution_scripts\RESUME_ALPHA_ENGINE_WEB_V31.ps1","1E340306902234247207E5B34ECDE8FC1B31D9E3A644DC8D437D07E03722A808","2830"
"execution_scripts\RUN_ALPHA_ENGINE_DR1D_COMMIT.ps1","787220FE7F5B0FE7BA2BB380D889E1801A6FDC3FE12F1DD9222A40E57E1A8109","2156"
"execution_scripts\RUN_ALPHA_ENGINE_DR1D_DRYRUN.ps1","876D0135DA6612AF221C32A7B7EF2D3B455FF2FFA4CF0285B064E859E71BFE64","1920"
"execution_scripts\RUN_ALPHA_ENGINE_DR1D_RESUME_AUDIT.ps1","F57F5C319C65215FA87A46B48BAE4F4475E59EEF3527E649AC6C57D62D8563C0","10391"
"execution_scripts\RUN_ALPHA_ENGINE_PRODUCTION_RECOVERY.ps1","A1A7B3E2FFD6386A8BF6A7C9A5688610A166562CBECDB751C8F1F38DB50DEFBE","30832"
"execution_scripts\RUN_ALPHA_ENGINE_PRODUCTION_RECOVERY_FINAL.ps1","3082AE81D836D5F39E9C7100976710F09A9456A6459BC71832CDE1525CCE74DB","38670"
"README.md","71027C0C7E678571C8CA5A3569CF86B4CF93A99EC766DAC614B2055CD954AF0A","1819"
"RELEASE_STATE.json","5EB0CF1D3EBE655B91A969EEE1C693C5DFA1909A877BCD36A2E1A50121222C27","13062"
"runtime_snapshot\ALPHA_ENGINE_DATA_RECOVERY_V1_outputs_data_recovery_v1_forward_v42_forward_nav_latest.csv","C9CA9701E426B5DAD2EF5B3A6A83AE91934245D6A2FFCB6DF7251880944F43DB","1849"
"runtime_snapshot\ALPHA_ENGINE_DATA_RECOVERY_V1_outputs_data_recovery_v1_forward_v42_forward_nav_latest.json","A1EDAD756B957902903452A84CB3662D23DDCA4E6F3C6F1793EE7A85292FCC18","6082"
"runtime_snapshot\ALPHA_ENGINE_DATA_RECOVERY_V1_outputs_data_recovery_v1_live_market_refresh_summary_latest.json","0538A2CFB1E315541152FAEB802B20D55B123831ED0018B8ACA93641D97DBD2F","394"
"runtime_snapshot\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON_outputs_live_shadow_v13_live_adjusted_anchor_audit.csv","52D6C0DDA0A361BA045DCDEAD8160FDFC76F5DD34A394AD6FDD92DE8C82880E3","11349"
"runtime_snapshot\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON_outputs_live_shadow_v13_live_market_audit.csv","752977136E8D7C71A30CB0EA297140C7AD504B46A42180E46FFCC8012E2B3E82","4886"
"runtime_snapshot\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON_outputs_live_shadow_v13_live_sec_audit.csv","23B787FD74E3F0F69A3CD7C3B0D23C1EBDAC9E4C07502440C89BA045132CF515","29108"
"runtime_snapshot\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON_outputs_live_shadow_v13_live_shadow_contract_history.csv","E371F5483CB4027303693ED66194F308B549DE7193F5778C4A55584DFA459D8A","986699"
"runtime_snapshot\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON_outputs_live_shadow_v13_live_shadow_contract_latest.csv","AA633522EDB4D562F01447D9CDBB1614669418672D851917FBF4599CEB0B22E3","87510"
"runtime_snapshot\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON_outputs_live_shadow_v13_live_shadow_contract_latest.json","497095452DD0C339DA0443274E70C75AE851B45AD413912F5C0FCBD0DA1C1E53","224859"
"runtime_snapshot\ALPHA_ENGINE_V13_RETURN_FIRST_MULTI_HORIZON_outputs_live_shadow_v13_live_shadow_summary.json","7BBB477401605825C71C5485541583A649D0634B13A612CE6EF588E580D2649F","1455"
"web_snapshot\START_ALPHA_ENGINE_V4.ps1","5E8E170753AD56E93BA6658C094C82B48C3B7C47CD70A6A9A3F93F7A62F17190","298"
"web_snapshot\web_run_alpha_engine_v4.py","167BFDE26962EFCD06EDBD806E0F789DBB252CD2DB0749FC0DF8FF2E8CC32CF0","74973"
"web_snapshot\web_v4_app.js","0B27E19D7496BEE145DA4B2F0BC1993423480069C750DF15DA075E1517F5420B","26518"
"web_snapshot\web_v4_index.html","C1D611154E23746CAE74924468BE7D1BCBFE39D085DE795DAF1C6E960785931F","12927"
"web_snapshot\web_v4_styles.css","75DEEF853AECBF117DF47A44D7D622A6A6193410D2971E67F7D98DD008277D02","10736"
